file_path,detected_name,unicode_sequence,codepoints_hex,status,method
all/Woman And Man Holding Hands Medium Skin Tone.svg,Woman And Man Holding Hands Medium Skin Tone,👫🏽,1F46B-1F3FD,mapped,translation-pass|fq-correction
all/O Button Blood Type.svg,O Button Blood Type,🅾️,1F17E-FE0F,mapped,2-3-4|fq-correction
all/Socks.svg,Socks,🧦,1F9E6,mapped,lookup
all/Genie.svg,Genie,🧞,1F9DE,mapped,lookup
all/Fairy Dark Skin Tone.svg,Fairy Dark Skin Tone,🧚🏿,1F9DA-1F3FF,mapped,lookup+tone
all/Couple With Heart Man Man Medium Skin Tone.svg,Couple With Heart Man Man Medium Skin Tone,👨🏽‍❤️‍👨🏽,1F468-1F3FD-200D-2764-FE0F-200D-1F468-1F3FD,mapped,lookup+tone+gender|fq-correction
all/Kiss Woman Woman Medium Dark Skin Tone Dark Skin Tone.svg,Kiss Woman Woman Medium Dark Skin Tone Dark Skin Tone,👩🏾‍❤️‍💋‍👩🏿,1F469-1F3FE-200D-2764-FE0F-200D-1F48B-200D-1F469-1F3FF,mapped,lookup+tone+gender|fq-correction
all/Flag Seychelles.svg,Flag Seychelles,🇸🇨,1F1F8-1F1E8,mapped,flag
all/Man Golfing Medium Skin Tone.svg,Man Golfing Medium Skin Tone,🏌🏽‍♂️,1F3CC-1F3FD-200D-2642-FE0F,mapped,activity-person
all/Man Guard Dark Skin Tone.svg,Man Guard Dark Skin Tone,💂🏿‍♂️,1F482-1F3FF-200D-2642-FE0F,mapped,auto-cldr-exact
all/Family Woman Boy Boy.svg,Family Woman Boy Boy,👩‍👦‍👦,1F469-200D-1F466-200D-1F466,mapped,special: family (WOMAN BOY BOY)
all/Couple With Heart Man Person Medium Skin Tone Light Skin Tone.svg,Couple With Heart Man Person Medium Skin Tone Light Skin Tone,👨🏽‍❤️‍🧑🏻,1F468-1F3FD-200D-2764-FE0F-200D-1F9D1-1F3FB,mapped,special: couple-with-heart (MAN PERSON)
